# Categories:
# 1 = Music & Audio
# 2 = Makers & To-Makes
# 3 = Nature & Discoveries
# 4 = Scientific Expositions
# 5 = Engineering & Technology
# 6 = Mathematics & Puzzles
# 7 = Visual Media & Critiques
# 8 = Entertainers & Comedy
# 9 = Philosophies & Politics
# 10 = Outdoor Sports & Climbing
# 11 = Institutes & Organizations
# 12 = Uncategorized & Uncategorizable
Channel Url, Channel Title, Category Id
http://www.youtube.com/channel/UCDjGU4DP3b-eGxrsipCvoVQ, SciFri, 4
http://www.youtube.com/channel/UCDuL7JTPSW1QryB8Ep4qepQ, iSongs, 1
http://www.youtube.com/channel/UCDwMh0pu1iSXeKx7qmqjIQA, Device Orchestra, 1
http://www.youtube.com/channel/UCDwf2ONr5iTF3KIpHmViC8w, Brian Peter Tan, 7
http://www.youtube.com/channel/UCEIwxahdLz7bap-VDs9h35A, Steve Mould, 4
http://www.youtube.com/channel/UCEOXxzW2vU0P-0THehuIIeg, Captain Disillusion, 7
http://www.youtube.com/channel/UCFMGumZU2HL4ErtR5a6FQhw, Playfool, 2
http://www.youtube.com/channel/UCFtc3XdXgLFwhlDajMGK69w, NightHawkInLight, 2
http://www.youtube.com/channel/UCFy846QdKs3LbLgBpSqPcdg, The Kiffness, 8
http://www.youtube.com/channel/UCG8E64EJVj0AMZLBtYOdvTw, Mats Vermeeren, 6
http://www.youtube.com/channel/UCG9lNhVqk9luFLxBKDzuO9g, 5secondfilms, 8
http://www.youtube.com/channel/UCGEnLjNRMZG1nC-VaTV1jOw, 木の歯車工房　機巧部, 5
http://www.youtube.com/channel/UCGJykI0BRfFV044deqERlxQ, OskarPuzzle, 6
http://www.youtube.com/channel/UCGPrWh6uJe2YVl4eTMyPxdw, PolyPEDAL, 5
http://www.youtube.com/channel/UCGUDkpFlYHNaI6ML7PBaW5g, Dimsmary, 2
http://www.youtube.com/channel/UCGWYKICLOE8Wxy7q3eYXmPA, 最佳拍档, 5
http://www.youtube.com/channel/UCGfGP45SQujt5vZVJsa3nHQ, Sympawnies by Noam Oxman, 1
